AAENRIQUEZW10,Microsoft Windows 10,Sin_Cifrado_&_Acceso_USB,BCE,Sí,1722244103,142026967,1220462,Sí,Sí,Última vez conectado al Servidor de administración Hace 1 minuto.,Hace 1 minuto,Hace 44 minutos,Sin inconvenientes/Visible,Hace 6 minutos,aaenriquezw10,bce.fin.ec,1722244103,Hace 1 minuto,Hace 14 horas,0,En ejecución,10/20/2023 4:36:00 AM,10/16/2023 8:03:02 AM,,No,,Directiva de cifrado no especificada, ,AMD64,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,3/18/2021 8:24:54 AM,No,19045,2009,Dispositivos administrados/Formularios/Sin_Cifrado_&_Acceso_USB,,,BCEQANTIVIRUSK
AAHIDALGOW10,Microsoft Windows 10,Arbol,BCE,Sí,1722244100,142026967,11100399,Sí,Sí,Última vez conectado al Servidor de administración Hace 1 minuto.,Hace 1 minuto,Hace 27 minutos,Sin inconvenientes/Visible,Hace 1 minuto,aahidalgow10,bce.fin.ec,1722244100,Hace 1 minuto,Hace 14 horas,0,En ejecución,10/20/2023 4:36:00 AM,10/12/2023 11:31:27 PM,,No,,Directiva de cifrado no especificada, ,AMD64,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,2/2/2023 8:56:09 AM,No,19045,2009,Dispositivos administrados/Arbol,,,BCEQANTIVIRUSK
AALULEMA1W10,Microsoft Windows 10,Arbol,BCE,Sí,1722245247,142026967,1220462,Sí,Sí,Última vez conectado al Servidor de administración Hace 1 minuto.,Hace 1 minuto,Hace 26 minutos,Sin inconvenientes/Visible,Hace 15 minutos,aalulema1w10,bce.fin.ec,1722245247,Hace 1 minuto,Hace 22 horas,2,En ejecución,10/20/2023 4:36:00 AM,10/10/2023 12:15:21 PM,,No,,Directiva de cifrado no especificada, ,AMD64,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,6/5/2023 4:04:33 PM,No,19045,2009,Dispositivos administrados/Arbol,,,BCEQANTIVIRUSK
AALULEMAPW10,Microsoft Windows 10,Arbol,BCE,Sí,1722245104,142026967,1220462,Sí,Sí,Última vez conectado al Servidor de administración Hace 1 minuto.,Hace 1 minuto,Hace 45 minutos,Sin inconvenientes/Visible,Hace 3 minutos,aalulemapw10,bce.fin.ec,1722245104,Hace 1 minuto,Hace 16 horas,0,En ejecución,10/20/2023 4:36:00 AM,10/16/2023 12:01:27 PM,,No,,Directiva de cifrado no especificada, ,AMD64,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,12/12/2022 2:42:26 PM,No,19045,2009,Dispositivos administrados/Arbol,,,BCEQANTIVIRUSK
AAPAREDESW10,Microsoft Windows 10,Arbol,BCE,Sí,1722246156,142026967,1220462,Sí,Sí,Última vez conectado al Servidor de administración Hace 1 minuto.,Hace 1 minuto,Hace 12 minutos,Sin inconvenientes/Visible,Hace 14 minutos,aaparedesw10,bce.fin.ec,1722246156,Hace 1 minuto,Hace 15 horas,0,En ejecución,10/20/2023 4:36:00 AM,10/12/2023 12:23:13 AM,,No,,Directiva de cifrado no especificada, ,AMD64,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,3/20/2023 12:58:17 PM,No,19045,2009,Dispositivos administrados/Arbol,,,BCEQANTIVIRUSK
AARCOSW10,Microsoft Windows 10,Arbol,BCE,Sí,1722243150,140010902,1200465,No,Sí,Sin conexión desde hace mucho tiempo; ,Hace 2 semanas,Hace 2 semanas,Crítico,Hace 49 minutos,aarcosw10,bce.fin.ec,1722243150,Hace 2 semanas,Hace 2 semanas,0,,10/5/2023 9:50:00 AM,9/28/2023 11:43:40 AM,,No,,Directiva de cifrado no especificada, ,AMD64,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,2/15/2023 8:06:17 AM,No,19045,2009,Dispositivos administrados/Arbol,,,BCEQANTIVIRUSK
ABEDOYA1PORTW10,Microsoft Windows 10,Arbol,BCE,Sí,1722246168,12204376,1180384,No,Sí,Sin conexión desde hace mucho tiempo; ,Hace 3 semanas,9/19/2023 3:35:01 PM,Crítico,Hace 3 semanas,abedoya1portw10,bce.fin.ec,1722246168,Hace 3 semanas,9/19/2023 4:35:01 PM,0,,9/19/2023 11:23:00 AM,9/27/2023 1:58:19 PM,,No,,Directiva de cifrado no especificada, ,AMD64,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,5/19/2023 2:47:47 PM,No,17134,1803,Dispositivos administrados/Arbol,,,BCEQANTIVIRUSK
ABUNCE10W,Microsoft Windows 10,Arbol,BCE,Sí,1722246175,142026967,1220462,No,Sí,,Hace 19 horas,Hace 20 horas,Sin inconvenientes,Hace 48 minutos,abunce10w,bce.fin.ec,1722246175,Hace 19 horas,9/19/2023 6:32:05 PM,0,,10/19/2023 4:57:00 AM,10/19/2023 9:09:16 AM,,No,,Directiva de cifrado no especificada, ,AMD64,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,6/15/2023 11:41:49 AM,No,19044,2009,Dispositivos administrados/Arbol,,,BCEQANTIVIRUSK
ABUNCEWIN10,Microsoft Windows 10,Arbol,BCE,Sí,1722246151,142026967,1220462,Sí,Sí,Última vez conectado al Servidor de administración Hace 1 minuto.,Hace 1 minuto,Hace 43 minutos,Sin inconvenientes/Visible,Hace 7 minutos,abuncewin10,bce.fin.ec,1722246151,Hace 1 minuto,Hace 16 horas,0,En ejecución,10/20/2023 4:36:00 AM,10/17/2023 4:12:54 AM,,No,,Directiva de cifrado no especificada, ,AMD64,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,3/27/2023 3:52:28 PM,No,19045,2009,Dispositivos administrados/Arbol,,,BCEQANTIVIRUSK
ABUSTILLOSW7,Microsoft Windows 7,Arbol,BCE,Sí,172224571,142026967,1220462,Sí,Sí,Última vez conectado al Servidor de administración Hace 1 minuto.,Hace 1 minuto,Hace 42 minutos,Sin inconvenientes/Visible,Hace 1 minuto,abustillosw7,bce.fin.ec,172224571,Hace 1 minuto,Hace 15 horas,0,En ejecución,10/20/2023 4:36:00 AM,10/13/2023 8:22:16 AM,,No,,Directiva de cifrado no especificada, ,AMD64,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,No hay datos del dispositivo,3/29/2019 1:07:38 PM,No,7601,0,Dispositivos administrados/Arbol,,,BCEQANTIVIRUSK
